"Data","Ora","PrezzoZonale","Quantita","Prezzo"
2023-11-01,"3",50.43919,16,180.49
2023-11-01,"3",50.43919,5,180
2023-11-01,"3",50.43919,35.682,176.5
2023-11-01,"3",50.43919,63,176.02
2023-11-01,"3",50.43919,72,175.2
2023-11-01,"3",50.43919,54,171.8
2023-11-01,"3",50.43919,53.916,171.3
2023-11-01,"3",50.43919,72.3,169.9
2023-11-01,"3",50.43919,45.72,169
2023-11-01,"3",50.43919,3,167
2023-11-01,"3",50.43919,66.2,165
2023-11-01,"3",50.43919,360,164
2023-11-01,"3",50.43919,76,163.03
2023-11-01,"3",50.43919,37.2,160
2023-11-01,"3",50.43919,48,155
2023-11-01,"3",50.43919,37,150
2023-11-01,"3",50.43919,87,149.99
2023-11-01,"3",50.43919,3.951,148.69
2023-11-01,"3",50.43919,370,146.52
2023-11-01,"3",50.43919,12,145.32
2023-11-01,"3",50.43919,340,145.19
2023-11-01,"3",50.43919,370,143.74
2023-11-01,"3",50.43919,355,143.22
2023-11-01,"3",50.43919,368,140.5
2023-11-01,"3",50.43919,178,139.24
2023-11-01,"3",50.43919,370,137.9
2023-11-01,"3",50.43919,165,135.03
2023-11-01,"3",50.43919,215,132.76
2023-11-01,"3",50.43919,350,131.59
2023-11-01,"3",50.43919,203,131.18
2023-11-01,"3",50.43919,370,130.78
2023-11-01,"3",50.43919,368,130.13
2023-11-01,"3",50.43919,5,130
2023-11-01,"3",50.43919,221,129.33
2023-11-01,"3",50.43919,232,128.81
2023-11-01,"3",50.43919,181,127.88
2023-11-01,"3",50.43919,161,126.85
2023-11-01,"3",50.43919,24.402,123.08
2023-11-01,"3",50.43919,95,120.73
2023-11-01,"3",50.43919,12.4,117
2023-11-01,"3",50.43919,30.3,115.97
2023-11-01,"3",50.43919,159.789,115.8
2023-11-01,"3",50.43919,60,115.73
2023-11-01,"3",50.43919,24.225,115
2023-11-01,"3",50.43919,44.9,114.9
2023-11-01,"3",50.43919,89,114.15
2023-11-01,"3",50.43919,60,112.15
2023-11-01,"3",50.43919,28.3,110.8
2023-11-01,"3",50.43919,60,110.73
2023-11-01,"3",50.43919,60,110.15
2023-11-01,"3",50.43919,16,109.97
2023-11-01,"3",50.43919,143.201,107.8
2023-11-01,"3",50.43919,11.2,105.8
2023-11-01,"3",50.43919,25,102.66
2023-11-01,"3",50.43919,7.155,102.38
2023-11-01,"3",50.43919,109.86,101.96
2023-11-01,"3",50.43919,12.797,99.9
2023-11-01,"3",50.43919,0.53,99.73
2023-11-01,"3",50.43919,0.542,99.34
2023-11-01,"3",50.43919,1.9,99.29
2023-11-01,"3",50.43919,12.4,96.16
2023-11-01,"3",50.43919,7,95.58
